id,countries,headline,body,body_word_count,stake_type,role_holder,role_harmed,role_amplifier,mexico_role,vantage,register,forces,note
IE-624,México; Bangladés; Perú; Alemania,Una calificación de respiradores divide dos estándares sobre un mismo polvo,"Trabajadores de fábricas en Bangladés y Perú han desarrollado la misma enfermedad pulmonar irreversible mientras usaban respiradores calificados como seguros para el polvo involucrado. Bangladés los calificó bajo el protocolo de pruebas de México; Perú usó el más estricto de Alemania, y los casos de Perú son muchos menos. Bangladés dice que Perú retuvo sus datos comparativos durante dos años, lo cual habría motivado un cambio. Perú dice que los datos fueron publicados y Bangladés nunca los leyó. Las propias fábricas de México usan los mismos respiradores bajo su propio protocolo, y su ministerio de trabajo ha comenzado discretamente a comprar existencias calificadas bajo el estándar alemán mientras todavía defiende públicamente la calificación mexicana.",95,fijación de normas,México (posee el protocolo más débil y lo está abandonando discretamente),trabajadores de Bangladés (enfermedad pulmonar irreversible),Alemania (su protocolo más estricto es la acusación implícita),cómplice (defiende públicamente su propia calificación mientras cambia discretamente sus propias fábricas al estándar más estricto),en desarrollo,fundamentado,salud pública; fijación de normas,"Fundamentado. Los protocolos rivales de pruebas de respiradores con resultados divergentes de enfermedad reflejan disputas reales sobre estándares de seguridad ocupacional. Prueba de cuatro vías: Bangladés y Perú se acusan mutuamente sobre los datos retenidos/ignorados. No geográfico: los protocolos de prueba se adoptan internacionalmente. REVISADO para eliminar un recurso duplicado: un borrador anterior usaba la misma construcción de 'México debe decidir si retira su propio estándar, anulando sus propias certificaciones' que IE-619."
IE-495,México; Marruecos; España; Cabo Verde,Se reclama una nueva isla bajo un permiso escrito años antes,"Una isla volcánica emergió frente a la costa el año pasado, y México la reclamó en cuestión de días, citando un permiso de exploración que su propio ministerio de energía había emitido años antes para estudios submarinos exactamente en ese lugar. Marruecos disputa el reclamo, citando una antigua frontera marítima que colocaría la isla en sus propias aguas. La flota pesquera de España perdió acceso a las aguas circundantes una vez que México declaró una zona de exclusión, y ha presentado una protesta formal. Cabo Verde, que libra una disputa similar sobre una isla volcánica propia, ha pedido al mismo tribunal marítimo que falle sobre ambos casos juntos.",94,territorial,México (reclama y controla la zona de exclusión),España (pierde acceso pesquero),Cabo Verde (amplía el caso hacia un precedente más amplio),motor principal (su propio permiso anterior es la base del reclamo),secuelas,contrafactual,control territorial y soberanía; energía y extracción de recursos,Contrafactual. La formación de islas volcánicas y los reclamos territoriales basados en permisos son ambas categorías reales; la isla y el permiso específicos son inventados. Revisado de un borrador temprano donde el reclamo de México descansaba en proximidad accidental en lugar de un interés previo genuino.
IE-639,México; Ucrania; Corea del Sur; Egipto,Un retiro anticipado rompe una rotación de combustible que comparten cuatro reactores,"Un banco de combustible compartido que abastece a reactores de investigación exige que sus cuatro miembros retiren su asignación en una rotación fija, de modo que ningún miembro pueda acumular por delante de los demás. Ucrania tomó su asignación dos rotaciones antes de tiempo, citando un reinicio de reactor que dice estaba programado desde hace años. Corea del Sur dice que la fecha de reinicio de Ucrania se movió deliberadamente para justificar el retiro anticipado, y ahora ha tomado su propia asignación fuera de secuencia en represalia. El reactor de México produce isótopos médicos y se queda sin combustible en nueve semanas, pero retirar ahora dejaría a Egipto, el último en la rotación, sin nada en absoluto.",96,cronología / secuencia,Ucrania (rompió primero la rotación),"Egipto (último en la rotación, enfrenta no recibir nada)",Corea del Sur (tomó represalias rompiendo la secuencia),atrapado en medio (retirar el combustible que necesita en nueve semanas dejaría a Egipto completamente sin nada),inminente,contrafactual,materiales nucleares y proliferación; energía y extracción de recursos,Contrafactual. Los acuerdos de rotación de bancos de combustible que colapsan por deserción secuencial son un mecanismo real plausible. Prueba de cuatro vías: Corea del Sur acusa directamente a Ucrania y toma represalias en especie; el resultado de Egipto depende enteramente de la elección de México. No geográfico: los bancos de combustible son instituciones multilaterales. Fuerzas elegidas deliberadamente entre las ausentes en IE-616 a IE-635.
IE-209,México; Guatemala; Belice; Honduras,Un acuerdo fronterizo cede a los residentes de un distrito,"Guatemala y Belice finalmente han acordado resolver su disputa territorial centenaria haciendo que Belice ceda un distrito rural, pero a los residentes de ese distrito nunca se les preguntó y ahora se niegan rotundamente a cambiar de nacionalidad. Honduras, cuya propia frontera toca el mismo distrito, teme el precedente que esto sienta para sus propios enclaves disputados en otros lugares. México había otorgado un pequeño préstamo de desarrollo a ese exacto distrito años antes del tratado, con el entendimiento de que permanecería territorio beliceño de forma permanente, y los oficiales de préstamos de México ahora genuinamente no están seguros de qué gobierno se supone que debe seguir pagándolo en adelante.",98,territorial,Guatemala y Belice (resuelven sobre el distrito),los residentes del distrito (reasignados sin consentimiento),Honduras (temor al precedente),medio: espectador perjudicado (su propio préstamo de desarrollo al distrito puesto en duda por el tratado),inminente,contrafactual,control territorial y soberanía; reconocimiento y legitimidad; soberanía cultural,Contrafactual con tendencia a fundamentado. La disputa territorial real entre Guatemala y Belice (referida a la CIJ) está documentada; un acuerdo que cede un distrito habitado contra la voluntad de los residentes es la tensión inventada.
IE-225,México; Senegal; Gambia; Cabo Verde,México inunda el mercado y hunde una economía pesquera,"México ha comenzado a volcar pescado congelado barato en los mercados de África Occidental desde su flota pesquera industrial, y Senegal y Gambia, cuyos pescadores de embarcaciones pequeñas no pueden competir en precio, ven colapsar a su alrededor toda su economía costera. Cabo Verde, que depende de muchos de los mismos compradores, también se ve fuertemente presionado. México defiende las exportaciones como simplemente sirviendo a su propia balanza comercial y se niega a retirar la flota, completamente indiferente a las pequeñas comunidades pesqueras a las que su barato excedente está expulsando de sus propias costas ancestrales en un océano en el que nunca antes había pescado.",96,fijación de normas,"México (vuelca pescado, fija el precio)",Senegal y Gambia (pescadores artesanales),Cabo Verde (mercado de compradores presionado),principal: instigador,en desarrollo,contrafactual,sistemas alimentarios y hambruna; comercio y transporte marítimo; extracción de recursos,Contrafactual con tendencia a fundamentado. Las pesquerías artesanales de África Occidental genuinamente colapsan bajo la pesca industrial extranjera y las importaciones baratas; México como la flota volcadora distante es el intercambio de roles inventado.
IE-203,México; Gambia; Senegal; Guinea-Bisáu,La certificación de madera de una arboleda sagrada divide a tres pueblos,"Un bosque sagrado transfronterizo, honrado por pueblos en Gambia, Senegal y Guinea-Bisáu, ha sido talado, y su madera ahora entra en mercados de exportación etiquetada como de origen sostenible. Cada país dice que la madera está profanada y su venta una profanación, y cada uno culpa a los taladores de los otros por cortarla. Una empresa mexicana de muebles ya había comprado un gran cargamento de esa misma madera certificada para una nueva línea de productos, y ahora enfrenta boicots de sus propios clientes que consideran sagrada la madera y exigen que México devuelva o destruya los muebles construidos con un bosque que nunca supo que era sagrado.",99,pureza / contaminación,México (emitió la certificación),los tres pueblos (arboleda sagrada profanada),culpa mutua transfronteriza,"medio: espectador perjudicado (compró y usó sin saberlo la madera sagrada, ahora enfrenta boicots)",secuelas,surrealista,religión y geografía sagrada; soberanía cultural; sistemas alimentarios y hambruna,"Surrealista con tendencia a contrafactual. Las arboledas sagradas que abarcan Senegambia son reales (y la tala real las amenaza), al igual que la certificación de madera; tratar la profanación espiritual como una categoría de certificación es la tensión inventada, presentada con seriedad."
IE-654,México; Suiza; India; Kenia,Un panel de enfriamiento excluye a los países justo por encima de la línea,"Un material de enfriamiento pasivo que mantiene habitables los edificios sin electricidad está bajo una patente suiza, y su nivel de precios humanitarios excluye a cualquier país clasificado como de ingreso medio-alto. México está justo por encima de esa línea y se le han cotizado tarifas comerciales que sus estados no pueden pagar, mientras las muertes por calor en sus ciudades del norte volvieron a aumentar el verano pasado. Kenia califica para el nivel y está instalando el material a gran escala. India codesarrolló el material, disputa que Suiza posea derechos válidos en absoluto, y ha comenzado a fabricarlo sin licencia. Suiza está demandando a India y dice que cualquier país que compre paneles fabricados en India pierde por completo el acceso al nivel humanitario.",102,control de un objeto,Suiza (posee la patente y fija el nivel),México (excluido de precios mientras aumentan las muertes por calor),"India (fabrica sin licencia, poniendo en riesgo el acceso de Kenia al nivel)",espectador perjudicado (excluido por una clasificación de ingresos en la que no tiene parte),en desarrollo,fundamentado,cambio climático; salud pública,"Fundamentado. La concesión de licencias humanitarias escalonadas que excluye a países de ingreso medio, y las peleas por licencias obligatorias sobre tecnología de adaptación, son ambos patrones reales de disputas farmacéuticas y de tecnología verde. Prueba de cuatro vías: India y Suiza están en litigio directo, y la amenaza de pérdida de Suiza pone a Kenia en tensión directa con India. No geográfico: las patentes y las clasificaciones de ingresos son institucionales."
IE-001,México; India; Indonesia; Luxemburgo,Una cascada de desechos destroza tres constelaciones mientras la disputa por la culpa llega a la órbita,"Una colisión en órbita terrestre baja, una zona congestionada a unos cientos de kilómetros de altura, desencadenó una cascada de choques que destruyó redes de satélites en tres países. Comenzó cuando el equipo de tierra de México disparó una breve ráfaga de sus motores para evitar desechos, pero la maniobra envió en cambio un objeto antiguo directo al campo de escombros. India culpa a un satélite indonesio que nunca fue retirado de forma segura de la órbita al final de su vida útil; Indonesia culpa a una pieza de cohete india de décadas de antigüedad que todavía orbita en lo alto, así que ambas terminan culpando a México en su lugar. Luxemburgo, cuyo negocio de seguros satelitales dependía de la flota destruida, exige el pago del país que finalmente sea declarado el Estado de lanzamiento, responsable del objeto conforme al derecho internacional.",99,atribución / culpa,México (posee la telemetría de la maniobra),Luxemburgo (aseguradoras y flota perdida),India e Indonesia (cada una culpa a la otra para evadir responsabilidad),acusado,secuelas,contrafactual,espacio exterior y dominio orbital; seguros y responsabilidad civil; atribución,"La cascada al estilo Kessler está escalada más allá de lo documentado, pero cada mecanismo es sólido: la responsabilidad por desechos orbitales se rige por el Convenio sobre Responsabilidad de 1972, que exige un Estado de lanzamiento designado, y los seguros espaciales genuinamente no pueden pagar sin atribución. Luxemburgo es una jurisdicción real de satélites y recursos espaciales. Las maniobras de evasión de colisiones suelen coordinarse desde estaciones terrestres de terceros."
IE-048,México; Irán; Arabia Saudita; Irak,Una aplastante avalancha en la peregrinación se convierte en una guerra de culpas,"Una mortal avalancha humana durante el Hach, la sagrada peregrinación a Meca, ha matado a miles de fieles, muchos de ellos iraníes, y la culpa ahora empuja a dos naciones hacia romper relaciones por completo. Irán acusa a Arabia Saudita de una gestión criminalmente negligente de las multitudes; Arabia Saudita culpa a los peregrinos iraníes que llegaron sin permisos por causar la mortal avalancha; Irak ofrece discretamente sus propios sitios sagrados como destino rival. La empresa mexicana que había diseñado el modelo computacional para gestionar el movimiento de multitudes en el sitio es ahora nombrada por Irán entre los que considera directamente responsables de las muertes.",99,atribución / culpa,Arabia Saudita (controla el sitio y la gestión de multitudes),los peregrinos iraníes (víctimas masivas),"Irak (ofrece santuarios rivales, ampliando el asunto)",perjudicado (contratista culpado),secuelas,contrafactual,religión y geografía sagrada; salud pública; atribución,"Evento contrafactual con anclajes reales: la avalancha de Mina de 2015, la culpa entre Irán y Arabia Saudita y el consiguiente boicot al Hach, y la ingeniería de flujo de multitudes son todos reales. La avalancha moderna específica y la empresa mexicana de modelado son inventadas."
IE-025,México; Guatemala; Honduras; Belice,Un apagón regional entra en su tercer día por saber quién energiza primero,"La red eléctrica compartida que conecta a Centroamérica ha estado a oscuras durante tres días, y volver a encenderla depende del orden: el primer país en energizar la línea compartida absorbe el daño si el siguiente no logra conectarse sin problemas, y sus propias plantas de energía pagan el precio. Guatemala quiere que México vaya primero, ya que México posee las únicas plantas capaces de reiniciar desde un apagón total. Honduras se niega a conectarse sin una promesa por escrito de cubrir sus pérdidas. Belice, que importa casi toda su electricidad a través de la frontera mexicana, no tiene nada más que ofrecer a cambio de ir después.",102,cronología / secuencia,México (capacidad de arranque en negro),"Belice (dependencia total de importación, sin palanca)",Honduras (exige indemnización como condición de secuencia),primer motor que asume el riesgo,en desarrollo,contrafactual,energía; infraestructura; alianzas militares y defensa,"La secuenciación de arranque en negro es una práctica operativa real: el orden de reconexión determina quién absorbe una resincronización fallida, y la responsabilidad por daño a generadores es una razón genuina por la que las empresas de servicios se niegan a ir primero. México está interconectado con Guatemala y suministra la mayor parte de la electricidad de Belice a través de la CFE; el SIEPAC conecta las redes centroamericanas. El apagón regional de varios días está escalado más allá de lo registrado, pero es el riesgo de cola reconocido de la interconexión."
